externalId,reviewText,productName,productCategory,consumerName,language,rating,verifiedPurchase
rev_0001,"Outer box soggy and inside packets dented, unacceptable packaging. kaafi accha but depends on batch",CrunchyBite Protein Bars,food,Manoj,en,2,true
rev_0002,"Taste is too sweet for me, texture is odd.",GlowLeaf Herbal Shampoo,beauty,Ritu,en,3,true
rev_0003,"Delivery was quick, product feels premium.",CrunchyBite Protein Bars,food,Aarav,en,5,false
rev_0004,"Nice experience, customer support was helpful.",VoltX Earbuds,electronics,Rahul,hi,4,true
rev_0005,"Bahut accha nikla, kaafi useful in daily use. price zyada hai but chalega",VoltX Earbuds,electronics,Aditi,hi,4,true
rev_0006,"Great taste and good quality, will buy again. thoda mixed feel hai 😅",VoltX Earbuds,electronics,Ananya,kn,4,true
rev_0007,"Pretty good overall, happy with durability.",VoltX Earbuds,electronics,Priya,en,4,true
rev_0008,"Fragrance is too strong, gave mild irritation.",CrunchyBite Protein Bars,food,Priya,hi,3,true
rev_0009,"Pretty good overall, happy with durability.",VoltX Earbuds,electronics,Aditi,en,4,true
rev_0010,"Nice experience, customer support was helpful.",VoltX Earbuds,electronics,Vihaan,te,4,true
rev_0011,"Thik tha, expected thoda better but usable. thoda mixed feel hai 😅",GlowLeaf Herbal Shampoo,beauty,Ritu,en,3,true
rev_0012,"Bahut accha nikla, kaafi useful in daily use.",GlowLeaf Herbal Shampoo,beauty,Aarav,hi,5,false
rev_0013,"Delivery was quick, product feels premium.",CrunchyBite Protein Bars,food,Kiran,hi,5,true
rev_0014,"Battery drains fast, performance dips after 2 hours. thoda mixed feel hai 😅",VoltX Earbuds,electronics,Ananya,hi,3,true
rev_0015,"Pretty good overall, happy with durability.",CrunchyBite Protein Bars,food,Ishita,ml,5,true
rev_0016,"Delivery was quick, product feels premium. overall theek hai yaar",CrunchyBite Protein Bars,food,Meera,en,4,true
rev_0017,"Works as intended, nothing standout.",VoltX Earbuds,electronics,Meera,hi,3,true
rev_0018,"Great taste and good quality, will buy again.",CrunchyBite Protein Bars,food,Rahul,hi,5,true
rev_0019,Support response was delayed and not very clear.,GlowLeaf Herbal Shampoo,beauty,Vihaan,hi,3,true
rev_0020,"Fragrance is too strong, gave mild irritation.",CrunchyBite Protein Bars,food,Varun,hi,3,false
rev_0021,"Mast product hai, value for money 👍",VoltX Earbuds,electronics,Yash,en,5,true
rev_0022,"Battery drains fast, performance dips after 2 hours.",CrunchyBite Protein Bars,food,Ishita,hi,1,true
rev_0023,"Bahut accha nikla, kaafi useful in daily use.",GlowLeaf Herbal Shampoo,beauty,Manoj,en,4,true
rev_0024,"Works as intended, nothing standout.",GlowLeaf Herbal Shampoo,beauty,Diya,kn,3,true
rev_0025,"The product is okay, packaging was fine.",VoltX Earbuds,electronics,Ishita,hi,3,false
rev_0026,"Delivery was quick, product feels premium.",GlowLeaf Herbal Shampoo,beauty,Ananya,ta,5,true
rev_0027,"Mast product hai, value for money 👍",VoltX Earbuds,electronics,Sanjay,en,4,true
rev_0028,"Thik tha, expected thoda better but usable.",GlowLeaf Herbal Shampoo,beauty,Arjun,en,3,true
rev_0029,"Fragrance is too strong, gave mild irritation.",CrunchyBite Protein Bars,food,Yash,hi,3,true
rev_0030,"Fragrance is too strong, gave mild irritation.",VoltX Earbuds,electronics,Yash,hi,3,false
rev_0031,"Bahut accha nikla, kaafi useful in daily use.",GlowLeaf Herbal Shampoo,beauty,Sana,en,4,false
rev_0032,"Mast product hai, value for money 👍",CrunchyBite Protein Bars,food,Sana,en,5,true
rev_0033,"Pretty good overall, happy with durability.",VoltX Earbuds,electronics,Varun,kn,4,true
rev_0034,"Delivery was quick, product feels premium.",VoltX Earbuds,electronics,Kiran,hi,4,true
